id,texto,author_id
1638785421986635777,"RT @lolaescreva: Já o médico Olímpio venceu ação por danos morais contra um padre q o acusou de ""assassino"" por realizar aborto legal na me…",
1638785399681318912,RT @Swwtpie: Vem ai sucrose scara e collei estudantes da rede estadual de pernambuco KKKKK (sugestão do @rockin0ver e @h4ithamsbf) https://…,
1638785053567197185,"RT @centralpolitcs: ❌ Lula repreende apoiadores que vaiaram Raquel Lyra em Pernambuco. “Adversário político não é inimigo”.

Via @Metropole…",
1638784920058249216,"RT @siteptbr: 🚨 VEJA: Após governadora de Pernambuco(que ficou isenta nas eleições) ser vaiada por petistas, Lula intervém:

“Quando vocês…",
1638784499600244736,"RT @siteptbr: 🚨 VEJA: Após governadora de Pernambuco(que ficou isenta nas eleições) ser vaiada por petistas, Lula intervém:

“Quando vocês…",
1638784112096935936,"RT @siteptbr: 🚨 VEJA: Após governadora de Pernambuco(que ficou isenta nas eleições) ser vaiada por petistas, Lula intervém:

“Quando vocês…",
1638783880223227905,"RT @ptbrasil: ""Nunca antes na história de Pernambuco um presidente assinou tanto papel de uma só vez aqui"" presidente @LulaOficial no relan…",
1638783864997920769,RT @eutauat: Lula deu uma aula de civilidade política em Pernambuco hoje. https://t.co/bkqqudwPkF,
1638783817497595906,"RT @siteptbr: 🚨 VEJA: Após governadora de Pernambuco(que ficou isenta nas eleições) ser vaiada por petistas, Lula intervém:

“Quando vocês…",
1638783621409456128,"@ttdamalik tu vai ficar em pernambuco mulher, to dizendo a tu",
1638783331918573568,"RT @ptbrasil: ""Trago aqui o anúncio de um trabalho fundamental que já teve início em Pernambuco e que será uma referência para todo o Brasi…",
1638783134228414464,"RT @LulaOficial: Digo ao Brasil, aqui em Pernambuco, que voltamos a governar o país para mudar mais uma vez a história. Quem nunca passou f…",
1638782847619067905,RT @senadorhumberto: Lula: “Nunca na história de Pernambuco tivemos um presidente assinando tantos convênios e projetos e repassando tanto…,
1638782693247729665,"RT @LulaOficial: Na assinatura do Acordo de Noronha, com a governadora @raquellyra. Fernando de Noronha pode contar com o governo federal t…",
1638782623983222784,RT @eutauat: Lula deu uma aula de civilidade política em Pernambuco hoje. https://t.co/bkqqudwPkF,
1638782596644577281,"RT @LulaOficial: Digo ao Brasil, aqui em Pernambuco, que voltamos a governar o país para mudar mais uma vez a história. Quem nunca passou f…",
1638782558706999296,"RT @Metropoles: Lula repreende apoiadores que vaiaram Raquel Lyra em Pernambuco. “Adversário político não é inimigo”.

Petista afirmou que…",
1638782455808430080,RT @senadorhumberto: Lula de volta a Pernambuco! E já vem trazendo boas novas: está de volta o Programa Nacional de Aquisição de Alimentos.…,
